width,height,count
45,49,66
49,49,60
53,51,60
47,49,56
49,53,54
51,53,54
49,47,52
47,47,51
51,55,50
55,55,48
43,45,48
51,49,48
57,53,48
53,55,48
51,51,46
53,53,46
47,51,46
55,57,45
45,47,45
51,47,44
57,55,44
55,53,43
49,51,41
49,55,41
45,45,41
59,59,41
49,43,40
53,49,40
51,57,39
47,43,39
57,61,39
43,43,38
47,45,37
47,53,37
37,39,37
61,59,36
41,41,36
53,47,36
55,51,36
55,49,36
57,57,35
59,55,35
43,41,35
53,57,34
41,43,34
61,61,34
57,51,34
41,47,34
59,57,34
49,45,32
39,43,31
45,53,31
63,65,31
45,43,31
45,41,31
37,35,31
59,53,31
61,55,30
45,51,30
43,49,30
59,63,30
51,45,29
59,65,29
55,59,29
43,42,28
35,35,28
35,37,28
61,53,27
43,51,27
41,42,27
65,63,27
41,39,27
61,57,27
37,41,27
39,41,27
55,61,27
61,65,27
43,39,26
43,47,26
65,59,26
61,63,26
39,39,26
67,67,25
37,37,25
53,61,25
67,61,25
57,59,25
59,61,24
47,55,24
33,36,24
39,45,24
63,59,24
63,61,24
47,57,23
45,44,23
33,35,23
51,43,23
41,49,23
35,39,22
36,37,22
40,38,21
59,51,21
35,36,21
41,45,21
57,63,21
36,35,21
55,45,21
63,63,21
45,39,21
39,47,21
69,73,21
94,98,21
35,33,20
36,41,20
43,37,20
70,69,20
57,67,20
75,73,20
37,43,20
41,37,20
69,63,20
45,46,20
53,59,20
34,35,20
65,57,19
47,59,19
59,67,19
69,65,19
39,37,19
47,41,19
51,59,19
42,41,19
65,69,19
55,65,19
37,34,19
40,41,19
96,92,19
35,41,19
65,61,18
55,63,18
39,44,18
31,31,18
63,67,18
65,65,18
40,39,18
38,36,17
38,35,17
45,55,17
69,69,17
65,62,17
45,42,17
34,36,17
90,100,17
96,98,17
100,100,17
71,67,17
63,57,17
63,55,17
71,59,17
41,40,17
67,70,17
53,63,17
43,40,17
55,47,17
31,33,17
31,34,17
35,40,17
71,72,17
33,43,16
96,86,16
75,84,16
33,33,16
96,100,16
43,44,16
59,49,16
42,39,16
38,41,16
77,78,16
32,34,16
43,57,16
37,33,16
80,84,16
94,90,16
57,69,16
67,71,16
69,67,16
57,49,16
32,33,15
57,62,15
31,35,15
49,61,15
49,57,15
108,106,15
55,58,15
38,38,15
31,29,15
74,71,15
43,53,15
36,40,15
49,46,15
36,34,15
35,34,15
49,41,15
30,33,15
67,59,15
36,38,15
55,60,15
44,45,15
37,36,15
67,68,15
45,57,15
73,76,15
39,38,15
67,65,15
96,96,15
48,43,15
37,45,15
37,38,15
36,36,15
100,102,15
29,31,15
44,51,15
72,71,15
67,69,14
88,86,14
33,38,14
96,94,14
39,40,14
43,46,14
64,63,14
65,55,14
33,32,14
39,36,14
39,35,14
36,33,14
72,78,14
35,43,14
67,57,14
51,41,14
102,98,14
59,66,14
34,39,14
86,92,14
71,68,14
53,65,14
73,82,14
63,69,14
53,52,14
37,40,14
86,80,14
78,84,14
34,34,14
37,47,14
40,35,14
65,74,14
82,84,14
46,45,14
96,90,14
66,61,14
100,98,14
34,31,13
67,63,13
88,90,13
41,53,13
61,67,13
98,104,13
98,108,13
100,110,13
98,100,13
70,71,13
63,64,13
90,96,13
51,61,13
63,68,13
82,88,13
71,75,13
49,44,13
55,64,13
49,65,13
100,106,13
63,71,13
35,38,13
35,29,13
41,38,13
49,63,13
40,40,13
90,86,13
33,39,13
56,49,13
30,31,13
86,82,13
30,29,13
92,96,13
30,35,13
69,71,13
92,86,13
65,64,13
38,37,13
46,43,13
57,65,13
78,69,13
59,62,13
43,38,13
44,46,13
38,39,13
32,31,13
42,45,13
94,88,13
45,59,13
51,65,13
60,63,13
73,67,12
63,62,12
100,92,12
80,75,12
73,68,12
49,59,12
53,45,12
61,62,12
45,37,12
58,59,12
40,37,12
63,75,12
71,65,12
44,43,12
88,94,12
71,73,12
44,47,12
94,102,12
65,70,12
57,47,12
32,32,12
82,82,12
106,98,12
42,47,12
98,102,12
63,53,12
41,51,12
39,42,12
96,104,12
51,56,12
51,52,12
68,67,12
102,96,12
57,56,12
26,29,12
38,42,12
92,94,12
47,39,12
38,40,12
57,60,12
48,46,12
67,73,12
38,44,12
62,63,11
55,67,11
55,71,11
37,42,11
39,33,11
76,69,11
77,79,11
53,54,11
84,90,11
70,67,11
35,31,11
69,72,11
104,92,11
106,104,11
33,31,11
74,73,11
59,60,11
96,88,11
78,88,11
41,55,11
98,98,11
58,61,11
60,57,11
65,68,11
48,42,11
72,69,11
56,54,11
65,67,11
37,32,11
92,102,11
31,32,11
31,30,11
79,96,11
43,55,11
75,71,11
30,30,11
73,75,11
40,47,11
90,85,11
33,37,11
29,29,11
75,79,11
94,100,11
61,58,11
80,88,11
71,71,11
63,73,11
59,70,10
94,92,10
45,36,10
45,61,10
94,108,10
52,47,10
80,90,10
54,59,10
44,42,10
38,32,10
80,96,10
62,59,10
44,41,10
59,58,10
58,63,10
104,96,10
53,64,10
92,90,10
92,88,10
78,74,10
56,55,10
100,104,10
39,51,10
39,49,10
55,66,10
100,96,10
82,90,10
61,51,10
41,36,10
90,90,10
90,92,10
57,45,10
90,94,10
98,96,10
42,38,10
42,49,10
79,82,10
79,83,10
96,106,10
48,45,10
57,58,10
43,48,10
57,66,10
47,42,10
45,48,10
61,66,10
37,31,10
76,80,10
34,33,10
66,57,10
73,62,10
104,98,10
67,77,10
75,75,10
65,66,10
65,71,10
73,73,10
65,60,10
36,45,10
71,80,10
76,78,10
36,39,10
33,41,10
71,79,10
29,32,10
73,77,10
34,38,10
69,61,10
65,58,10
27,27,10
35,32,10
66,67,10
64,69,10
66,84,10
110,110,10
104,108,10
104,110,10
116,106,10
27,28,10
63,70,10
106,94,10
75,80,10
108,104,9
46,40,9
73,72,9
47,44,9
61,73,9
28,28,9
92,84,9
75,82,9
40,43,9
92,98,9
92,112,9
40,36,9
73,79,9
61,76,9
40,45,9
29,34,9
114,106,9
96,110,9
110,102,9
74,84,9
43,36,9
79,86,9
64,61,9
96,102,9
110,112,9
29,28,9
79,72,9
98,90,9
60,59,9
64,65,9
42,44,9
42,43,9
110,98,9
80,69,9
80,71,9
30,32,9
30,28,9
59,73,9
59,69,9
41,44,9
112,114,9
33,29,9
59,64,9
65,72,9
41,35,9
65,73,9
44,44,9
102,92,9
29,33,9
39,53,9
116,100,9
63,56,9
84,86,9
102,110,9
49,56,9
38,45,9
71,70,9
38,43,9
83,82,9
83,98,9
36,43,9
88,88,9
68,73,9
70,80,9
77,88,9
77,80,9
55,52,9
84,88,9
102,104,9
69,74,9
52,51,9
52,52,9
37,51,9
52,53,9
85,83,9
62,61,9
86,96,9
86,94,9
53,71,9
86,84,9
86,81,9
53,43,9
104,104,9
78,71,9
32,35,9
48,47,9
25,28,9
25,26,9
72,73,9
82,78,9
72,76,9
67,74,9
39,34,9
35,42,9
74,74,8
65,53,8
84,94,8
25,27,8
72,68,8
92,104,8
46,55,8
80,73,8
51,67,8
51,66,8
81,84,8
66,64,8
42,40,8
43,35,8
64,74,8
51,63,8
85,90,8
47,65,8
86,86,8
60,55,8
47,46,8
72,82,8
60,61,8
47,61,8
57,72,8
70,64,8
70,61,8
42,42,8
80,76,8
80,78,8
55,54,8
82,94,8
59,47,8
94,94,8
114,108,8
80,94,8
73,78,8
49,54,8
28,30,8
65,86,8
28,29,8
67,84,8
82,86,8
80,86,8
82,85,8
80,80,8
67,72,8
66,69,8
90,84,8
48,48,8
70,77,8
112,116,8
70,79,8
51,50,8
46,46,8
81,75,8
68,69,8
27,34,8
55,62,8
82,80,8
48,51,8
44,49,8
58,57,8
71,69,8
94,112,8
73,70,8
32,36,8
98,106,8
76,82,8
38,33,8
38,34,8
76,79,8
75,69,8
78,86,8
108,98,8
75,77,8
33,30,8
33,34,8
33,40,8
41,34,8
78,63,8
35,45,8
61,77,8
78,78,8
61,56,8
100,88,8
100,90,8
61,70,8
63,90,8
106,114,8
63,60,8
108,108,8
40,42,8
63,66,8
34,37,8
62,55,8
76,76,8
98,86,8
42,37,8
42,36,8
42,33,8
62,67,8
104,102,8
79,75,8
35,47,7
26,36,7
47,52,7
92,80,7
69,82,7
53,67,7
57,68,7
39,46,7
53,46,7
54,52,7
91,86,7
116,118,7
48,44,7
63,49,7
76,70,7
48,49,7
39,32,7
48,53,7
82,81,7
90,98,7
67,64,7
72,67,7
66,66,7
106,112,7
66,63,7
63,76,7
66,59,7
58,55,7
104,100,7
81,78,7
46,53,7
81,100,7
53,60,7
106,116,7
82,72,7
61,74,7
125,139,7
100,133,7
61,68,7
61,69,7
125,124,7
66,65,7
70,65,7
61,71,7
67,81,7
102,100,7
71,84,7
54,55,7
38,49,7
52,55,7
88,100,7
68,65,7
52,50,7
68,70,7
52,49,7
68,76,7
55,56,7
70,76,7
70,73,7
70,72,7
52,48,7
69,59,7
77,75,7
69,75,7
51,69,7
88,80,7
62,57,7
51,74,7
88,78,7
69,66,7
84,108,7
87,88,7
121,114,7
71,63,7
55,69,7
71,74,7
78,65,7
23,23,7
69,79,7
104,106,7
77,69,7
104,112,7
86,88,7
71,77,7
49,60,7
71,76,7
56,65,7
120,118,7
56,63,7
86,90,7
76,77,7
83,81,7
36,32,7
62,62,7
84,76,7
37,49,7
50,47,7
55,75,7
80,92,7
72,75,7
30,27,7
45,54,7
45,50,7
73,74,7
100,94,7
28,32,7
74,70,7
73,81,7
79,94,7
73,87,7
74,66,7
110,100,7
73,92,7
94,104,7
65,82,7
112,108,7
98,110,7
65,81,7
75,67,7
43,65,7
75,78,7
80,74,7
44,52,7
59,71,7
61,49,7
75,74,7
98,114,7
65,77,7
41,33,7
133,135,7
29,36,7
110,104,7
31,28,7
98,93,7
32,38,7
108,100,7
42,46,7
73,66,7
80,79,7
73,65,7
98,94,7
45,63,7
89,110,6
36,31,6
84,75,6
50,43,6
98,88,6
50,45,6
84,79,6
30,36,6
84,82,6
60,53,6
56,51,6
50,53,6
50,55,6
84,84,6
55,68,6
86,79,6
68,57,6
83,76,6
37,53,6
49,76,6
149,147,6
32,29,6
76,74,6
49,48,6
82,96,6
38,48,6
53,58,6
65,75,6
71,78,6
64,67,6
49,58,6
53,56,6
59,68,6
120,108,6
49,67,6
94,86,6
60,58,6
53,66,6
56,61,6
98,113,6
75,70,6
69,77,6
68,63,6
84,96,6
31,39,6
110,116,6
74,72,6
51,71,6
41,59,6
55,43,6
104,86,6
69,68,6
64,73,6
74,86,6
122,149,6
54,63,6
87,84,6
54,54,6
54,45,6
62,71,6
104,94,6
54,51,6
85,75,6
54,49,6
74,69,6
77,67,6
43,34,6
79,65,6
88,98,6
86,83,6
88,96,6
60,51,6
112,106,6
88,92,6
68,66,6
110,114,6
78,96,6
68,71,6
76,81,6
21,21,6
68,75,6
64,70,6
78,70,6
122,110,6
51,54,6
86,78,6
70,74,6
31,36,6
67,80,6
74,63,6
47,48,6
72,80,6
66,70,6
40,44,6
66,73,6
94,96,6
114,123,6
66,82,6
73,90,6
63,54,6
57,64,6
26,24,6
81,92,6
26,23,6
72,77,6
94,110,6
91,74,6
35,51,6
67,51,6
34,43,6
76,65,6
66,62,6
61,64,6
106,108,6
27,33,6
27,29,6
57,77,6
57,79,6
82,73,6
28,33,6
82,76,6
92,82,6
114,118,6
82,77,6
59,45,6
108,118,6
92,110,6
28,27,6
75,81,6
141,143,6
108,120,6
78,72,6
82,71,6
114,121,6
