class_code,train_count,test_count
A-1,195,50
A-11,39,11
A-11a,35,10
A-12a,81,21
A-14,43,11
A-15,15,5
A-16,221,56
A-17,200,51
A-18b,423,111
A-2,195,50
A-20,38,10
A-21,21,6
A-24,19,6
A-29,248,63
A-3,124,32
A-30,536,135
A-32,198,54
A-4,124,32
A-6a,295,74
A-6b,333,86
A-6c,333,86
A-6d,223,60
A-6e,223,60
A-7,620,156
A-8,121,31
B-1,30,8
B-18,32,9
B-2,93,24
B-20,282,71
B-21,134,34
B-22,134,34
B-25,648,163
B-26,72,19
B-27,106,27
B-33,1370,337
B-34,65,17
B-36,539,144
B-41,17,5
B-42,57,15
B-43,131,33
B-44,81,21
B-5,82,21
B-6-B-8-B-9,22,7
B-8,41,11
B-9,65,17
C-10,1029,258
C-12,470,118
C-13,20,6
C-13-C-16,66,18
C-13a,27,7
C-13a-C-16a,19,6
C-16,53,14
C-2,39,10
C-4,39,10
C-5,120,32
C-6,28,8
C-7,28,8
C-9,1039,260
D-1,722,181
D-14,128,33
D-15,422,107
D-18,235,60
D-18b,19,6
D-2,208,53
D-21,24,7
D-23,163,42
D-23a,58,15
D-24,31,9
D-26,26,7
D-26b,25,8
D-26c,69,19
D-27,40,11
D-28,127,34
D-29,92,25
D-3,179,47
D-40,39,11
D-41,48,13
D-42,191,49
D-43,159,41
D-4a,99,26
D-4b,35,9
D-51,63,16
D-52,27,8
D-53,29,8
D-6,1125,282
D-6b,123,32
D-7,97,28
D-8,127,33
D-9,26,8
D-tablica,49,15
G-1a,41,11
G-3,19,5
