source_split,test_original,test_original,test_original,train_original,train_original,train_original
brightness_group,high,low,medium,high,low,medium
class_code,,,,,,
A-1,21,15,14,76,38,81
A-11,5,4,2,7,14,18
A-11a,4,2,4,3,7,25
A-12a,7,5,9,20,23,38
A-14,1,6,4,10,11,22
A-15,0,3,2,5,4,6
A-16,23,13,20,72,52,97
A-17,17,15,19,61,37,102
A-18b,26,34,51,140,83,200
A-2,14,18,18,87,37,71
A-20,7,2,1,19,2,17
A-21,1,1,4,3,3,15
A-24,5,1,0,12,1,6
A-29,22,16,25,70,39,139
A-3,13,5,14,38,42,44
A-30,60,19,56,209,85,242
A-32,17,15,22,54,24,120
A-4,9,19,4,41,30,53
A-6a,18,17,39,92,67,136
A-6b,28,29,29,106,88,139
A-6c,25,23,38,105,102,126
A-6d,23,10,27,62,27,134
A-6e,25,14,21,67,55,101
A-7,74,32,50,314,78,228
A-8,17,3,11,69,9,43
B-1,4,2,2,13,5,12
B-18,2,0,7,11,7,14
B-2,4,10,10,5,38,50
B-20,7,16,48,13,37,232
B-21,9,5,20,37,20,77
B-22,8,14,12,42,28,64
B-25,67,32,64,224,87,337
B-26,7,2,10,29,7,36
B-27,8,5,14,49,10,47
B-33,98,57,182,304,254,812
B-34,11,1,5,33,7,25
B-36,11,72,61,25,243,271
B-41,5,0,0,2,4,11
B-42,4,1,10,24,7,26
B-43,12,5,16,60,18,53
B-44,10,0,11,51,0,30
B-5,3,5,13,48,4,30
B-6-B-8-B-9,3,0,4,8,0,14
B-8,1,2,8,12,17,12
B-9,10,2,5,30,0,35
C-10,51,82,125,160,404,465
C-12,27,20,71,77,107,286
C-13,0,4,2,0,10,10
C-13-C-16,2,7,9,6,32,28
C-13a,0,5,2,1,20,6
C-13a-C-16a,0,4,2,1,9,9
C-16,2,4,8,1,16,36
C-2,0,5,5,0,9,30
C-4,0,7,3,11,18,10
C-5,1,18,13,12,31,77
C-6,0,4,4,4,11,13
C-7,2,0,6,0,4,24
C-9,48,71,141,111,302,626
D-1,100,16,65,387,120,215
D-14,0,1,32,3,52,73
D-15,12,35,60,48,133,241
D-18,3,22,35,13,104,118
D-18b,2,0,4,3,0,16
D-2,41,6,6,111,39,58
D-21,0,3,4,0,14,10
D-23,2,20,20,20,65,78
D-23a,3,8,4,8,24,26
D-24,0,1,8,5,11,15
D-26,3,3,1,0,13,13
D-26b,0,2,6,4,9,12
D-26c,5,5,9,12,26,31
D-27,0,6,5,11,16,13
D-28,5,8,21,16,45,66
D-29,4,4,17,5,30,57
D-3,2,25,20,7,90,82
D-40,0,4,7,0,24,15
D-41,1,6,6,4,3,41
D-42,11,18,20,60,38,93
D-43,3,13,25,38,38,83
D-4a,10,4,12,12,12,75
D-4b,0,5,4,3,10,22
D-51,0,6,10,8,24,31
D-52,5,1,2,21,0,6
D-53,8,0,0,9,0,20
D-6,46,109,127,153,329,643
D-6b,13,2,17,17,21,85
D-7,0,21,7,2,44,51
D-8,0,16,17,4,72,51
D-9,0,3,5,4,12,10
D-tablica,1,13,1,28,12,9
G-1a,1,2,8,5,13,23
G-3,5,0,0,14,0,5
