path,filename,class_code,source_split,extension,file_size_bytes,read_ok,width,height,channels,mode,mean_brightness,median_brightness,std_brightness,dark_pixel_ratio,bright_pixel_ratio,sha256,split,true_class,predicted_bright3,dataset_index,original_brightness
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-1\2019_0719_142601_003 0157_0.jpg,2019_0719_142601_003 0157_0.jpg,A-1,test_original,.jpg,981,True,23,22,3,RGB,62.33036804199219,52.90800094604492,26.2956600189209,0.0217391304347826,0.0,cb69d63de05a89c0470320db7def9968ba39353543a57ab8462274d8541fc089,test_final,A-1,A-3,0,62.33036804199219
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-1\2019_0719_142601_003 0158_0.jpg,2019_0719_142601_003 0158_0.jpg,A-1,test_original,.jpg,1237,True,28,38,3,RGB,42.037784576416016,35.990501403808594,23.19781494140625,0.231203007518797,0.0,76b44f16295d879fe414db323c2f73cea69cf1407da1f8c72266fe78280d1926,test_final,A-1,A-3,1,42.037784576416016
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-1\2019_0816_175356_008 267_0.jpg,2019_0816_175356_008 267_0.jpg,A-1,test_original,.jpg,5195,True,119,96,3,RGB,206.15573120117188,223.50279235839844,43.26387023925781,8.753501400560224e-05,0.0027135854341736,8723f753a02c3b4a39e5d98e0d7cb99f29f0f75a0c13a23b394a077cf13bcf93,test_final,A-1,A-2,35,206.15573120117188
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-1\2019_0901_165821_014 1860_0.jpg,2019_0901_165821_014 1860_0.jpg,A-1,test_original,.jpg,1507,True,45,41,3,RGB,27.25254440307617,26.6338005065918,14.70567226409912,0.3208672086720867,0.0,34c5730764ed96cd9131142c2a4e801d59e2374a93ea2cbe97abea904e3525d5,test_final,A-1,A-29,47,27.25254440307617
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-11\2019_0809_155001_003 0461_1.jpg,2019_0809_155001_003 0461_1.jpg,A-11,test_original,.jpg,2379,True,68,53,3,RGB,149.0943603515625,196.35598754882807,68.01383209228516,0.0141509433962264,0.0011098779134295,9e86c50bfab6da5459f64ea6b3775669a4772c2e37516d99aa6a451865d0c341,test_final,A-11,A-14,55,149.0943603515625
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-11\2019_0814_154857_003 1000_0.jpg,2019_0814_154857_003 1000_0.jpg,A-11,test_original,.jpg,6042,True,110,82,3,RGB,127.71604919433594,130.03799438476562,51.71392440795898,0.0208425720620842,0.0,35b4c9d6c11aaee8afb560efb20729acbeef11dba28b4fb9ca89316e885e5e42,test_final,A-11,A-14,58,127.71604919433594
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-11\2019_0814_154857_003 1026_0.jpg,2019_0814_154857_003 1026_0.jpg,A-11,test_original,.jpg,3424,True,65,63,3,RGB,156.54037475585938,180.5474090576172,58.86064910888672,0.0329670329670329,0.0034188034188034,57b3e61a58ef1f613860ebf39ca207a3a73bfc8a595a03f5e488c0a96b6a13f0,test_final,A-11,A-1,60,156.54037475585938
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-11a\2019_0816_175356_008 314_0.jpg,2019_0816_175356_008 314_0.jpg,A-11a,test_original,.jpg,12779,True,155,124,3,RGB,163.5451202392578,194.33599853515625,63.43606948852539,0.010041623309053,0.0230489073881373,4143616d94d6ded2ca41114e514704c9d7ef1bba26b279bba5f2eb24a8f226a5,test_final,A-11a,A-15,66,163.5451202392578
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-12a\2019_0721_171043_003 0750_0.jpg,2019_0721_171043_003 0750_0.jpg,A-12a,test_original,.jpg,3591,True,71,65,3,RGB,157.91036987304688,187.1719970703125,58.15923309326172,0.0403033586132177,0.0006500541711809,b819d0bd1735ddddab8a1d964990fb319ca300c6e187845ec56e713d63440d87,test_final,A-12a,A-20,75,157.91036987304688
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-14\2019_0719_142601_003 0225_0.jpg,2019_0719_142601_003 0225_0.jpg,A-14,test_original,.jpg,2026,True,44,39,3,RGB,159.2828826904297,154.39480590820312,67.07244873046875,0.0046620046620046,0.0361305361305361,996a8cc8871c02099853402455ca23c8a3805d69d67278f8b86b41ec449ee282,test_final,A-14,A-24,92,159.2828826904297
