precision,recall,f1-score,support,class_code
0.5714285714285714,0.8,0.6666666666666666,50.0,A-1
0.8333333333333334,0.45454545454545453,0.5882352941176471,11.0,A-11
0.6153846153846154,0.8,0.6956521739130435,10.0,A-11a
0.2727272727272727,0.8571428571428571,0.41379310344827586,21.0,A-12a
0.391304347826087,0.8181818181818182,0.5294117647058824,11.0,A-14
0.6666666666666666,0.8,0.7272727272727273,5.0,A-15
0.9375,0.8035714285714286,0.8653846153846154,56.0,A-16
0.7333333333333333,0.6470588235294118,0.6875,51.0,A-17
0.92,0.8288288288288288,0.8720379146919431,111.0,A-18b
0.3333333333333333,0.76,0.4634146341463415,50.0,A-2
0.23529411764705882,0.4,0.2962962962962963,10.0,A-20
0.6,1.0,0.75,6.0,A-21
0.2631578947368421,0.8333333333333334,0.4,6.0,A-24
0.5955056179775281,0.8412698412698413,0.6973684210526315,63.0,A-29
0.5185185185185185,0.4375,0.4745762711864407,32.0,A-3
0.9873417721518988,0.5777777777777777,0.7289719626168224,135.0,A-30
0.8461538461538461,0.8148148148148148,0.8301886792452831,54.0,A-32
0.9,0.28125,0.42857142857142855,32.0,A-4
0.4918032786885246,0.8108108108108109,0.6122448979591837,74.0,A-6a
0.582089552238806,0.45348837209302323,0.5098039215686274,86.0,A-6b
0.2,0.011627906976744186,0.02197802197802198,86.0,A-6c
0.819672131147541,0.8333333333333334,0.8264462809917356,60.0,A-6d
0.9782608695652174,0.75,0.8490566037735849,60.0,A-6e
1.0,0.7435897435897436,0.8529411764705882,156.0,A-7
0.7777777777777778,0.6774193548387096,0.7241379310344828,31.0,A-8
0.45454545454545453,0.625,0.5263157894736842,8.0,B-1
0.030303030303030304,0.3333333333333333,0.05555555555555555,9.0,B-18
1.0,0.8333333333333334,0.9090909090909091,24.0,B-2
1.0,0.8309859154929577,0.9076923076923077,71.0,B-20
0.8484848484848485,0.8235294117647058,0.835820895522388,34.0,B-21
0.9285714285714286,0.7647058823529411,0.8387096774193549,34.0,B-22
0.8461538461538461,0.5398773006134969,0.6591760299625468,163.0,B-25
0.35294117647058826,0.3157894736842105,0.3333333333333333,19.0,B-26
0.5555555555555556,0.37037037037037035,0.4444444444444444,27.0,B-27
0.991304347826087,0.33827893175074186,0.504424778761062,337.0,B-33
0.19047619047619047,0.47058823529411764,0.2711864406779661,17.0,B-34
0.8791946308724832,0.9097222222222222,0.89419795221843,144.0,B-36
0.23809523809523808,1.0,0.38461538461538464,5.0,B-41
0.28,0.4666666666666667,0.35,15.0,B-42
0.37333333333333335,0.8484848484848485,0.5185185185185185,33.0,B-43
0.9375,0.7142857142857143,0.8108108108108109,21.0,B-44
0.28,0.3333333333333333,0.30434782608695654,21.0,B-5
0.3333333333333333,1.0,0.5,7.0,B-6-B-8-B-9
0.15254237288135594,0.8181818181818182,0.2571428571428571,11.0,B-8
0.171875,0.6470588235294118,0.2716049382716049,17.0,B-9
0.9627906976744186,0.8023255813953488,0.8752642706131079,258.0,C-10
0.848,0.8983050847457628,0.8724279835390947,118.0,C-12
0.2777777777777778,0.8333333333333334,0.4166666666666667,6.0,C-13
1.0,0.6666666666666666,0.8,18.0,C-13-C-16
0.5833333333333334,1.0,0.7368421052631579,7.0,C-13a
0.5,0.5,0.5,6.0,C-13a-C-16a
0.6923076923076923,0.6428571428571429,0.6666666666666666,14.0,C-16
0.20588235294117646,0.7,0.3181818181818182,10.0,C-2
0.35,0.7,0.4666666666666667,10.0,C-4
0.6363636363636364,0.65625,0.6461538461538462,32.0,C-5
0.27586206896551724,1.0,0.43243243243243246,8.0,C-6
0.5833333333333334,0.875,0.7,8.0,C-7
0.9621848739495799,0.8807692307692307,0.9196787148594378,260.0,C-9
0.872093023255814,0.8287292817679558,0.8498583569405099,181.0,D-1
1.0,0.8484848484848485,0.9180327868852459,33.0,D-14
0.941747572815534,0.9065420560747663,0.9238095238095239,107.0,D-15
0.7924528301886793,0.7,0.7433628318584071,60.0,D-18
0.35714285714285715,0.8333333333333334,0.5,6.0,D-18b
0.5977011494252874,0.9811320754716981,0.7428571428571429,53.0,D-2
0.7,1.0,0.8235294117647058,7.0,D-21
0.7555555555555555,0.8095238095238095,0.7816091954022989,42.0,D-23
0.8125,0.8666666666666667,0.8387096774193549,15.0,D-23a
0.6363636363636364,0.7777777777777778,0.7,9.0,D-24
0.0,0.0,0.0,7.0,D-26
0.7,0.875,0.7777777777777778,8.0,D-26b
0.4864864864864865,0.9473684210526315,0.6428571428571429,19.0,D-26c
0.6,0.5454545454545454,0.5714285714285714,11.0,D-27
1.0,0.8235294117647058,0.9032258064516129,34.0,D-28
1.0,0.8,0.8888888888888888,25.0,D-29
0.8461538461538461,0.7021276595744681,0.7674418604651163,47.0,D-3
0.9,0.8181818181818182,0.8571428571428571,11.0,D-40
0.46153846153846156,0.9230769230769231,0.6153846153846154,13.0,D-41
0.9411764705882353,0.9795918367346939,0.96,49.0,D-42
1.0,0.9512195121951219,0.975,41.0,D-43
0.96,0.9230769230769231,0.9411764705882353,26.0,D-4a
0.8181818181818182,1.0,0.9,9.0,D-4b
0.875,0.875,0.875,16.0,D-51
0.75,0.375,0.5,8.0,D-52
0.38461538461538464,0.625,0.47619047619047616,8.0,D-53
0.9858490566037735,0.7411347517730497,0.8461538461538461,282.0,D-6
0.2840909090909091,0.78125,0.4166666666666667,32.0,D-6b
1.0,0.6428571428571429,0.782608695652174,28.0,D-7
0.9166666666666666,0.6666666666666666,0.7719298245614035,33.0,D-8
0.8,1.0,0.8888888888888888,8.0,D-9
0.6666666666666666,0.8,0.7272727272727273,15.0,D-tablica
1.0,0.8181818181818182,0.9,11.0,G-1a
0.05714285714285714,0.4,0.1,5.0,G-3
