dataset_index,path,true_class,predicted_class,original_brightness
6,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-1\2019_0721_171043_003 1641_0.jpg,A-1,A-2,65.5746841430664
9,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-1\2019_0726_185626_003 318_0.jpg,A-1,A-20,129.8883056640625
10,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-1\2019_0726_185626_003 319_0.jpg,A-1,A-3,152.9775848388672
20,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-1\2019_0814_154857_003 0734_0.jpg,A-1,A-30,36.00484085083008
22,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-1\2019_0815_090538_005 1323_0.jpg,A-1,A-2,40.6251106262207
26,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-1\2019_0815_094007_006 044_0.jpg,A-1,A-17,105.06283569335938
30,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-1\2019_0816_172034_007 0888_0.jpg,A-1,A-2,106.5311050415039
47,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-1\2019_0901_165821_014 1860_0.jpg,A-1,A-2,27.25254440307617
51,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-11\2019_0719_142601_003 0241_1.jpg,A-11,A-2,151.43682861328125
54,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-11\2019_0809_155001_003 0461_0.jpg,A-11,A-2,64.77458190917969
56,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-11\2019_0811_190715_005 367_0.jpg,A-11,D-1,158.44322204589844
59,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-11\2019_0814_154857_003 1025_0.jpg,A-11,A-1,160.18191528320312
68,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-11a\2019_0818_141422_011 148_0.jpg,A-11a,A-11,76.30572509765625
76,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-12a\2019_0721_171043_003 1584_0.jpg,A-12a,D-1,100.61859130859376
77,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-12a\2019_0721_171043_003 1585_0.jpg,A-12a,A-20,126.38616180419922
87,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-12a\2019_0814_162326_004 0146_1.jpg,A-12a,A-20,160.4518585205078
89,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-12a\2019_0814_162326_004 0421_0.jpg,A-12a,A-20,162.99069213867188
93,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-14\2019_0719_142601_003 0368_0.jpg,A-14,A-12a,80.63018035888672
98,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-14\2019_0726_185626_003 153_0.jpg,A-14,A-12a,97.6478500366211
101,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-14\2019_0814_154857_003 0129_0.jpg,A-14,A-12a,82.0584716796875
103,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-15\2019_0815_090538_005 0909_0.jpg,A-15,A-2,39.73136520385742
105,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-15\2019_0929_154947_042 088_0.jpg,A-15,A-18b,98.46318817138672
108,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-16\2019_0714_142630_003 131_0.jpg,A-16,A-20,157.69239807128906
109,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-16\2019_0714_142630_003 131_1.jpg,A-16,A-2,74.54837036132812
112,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-16\2019_0719_142601_003 1316_0.jpg,A-16,A-20,198.2024688720703
113,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-16\2019_0719_142601_003 1317_0.jpg,A-16,A-24,193.2459259033203
116,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-16\2019_0719_142601_003 1753_0.jpg,A-16,A-24,201.41136169433597
119,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-16\2019_0719_142601_003 2050_0.jpg,A-16,A-2,70.94839477539062
121,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-16\2019_0719_142601_003 2052_0.jpg,A-16,A-24,188.00401306152344
122,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-16\2019_0719_150032_004 0633_0.jpg,A-16,A-24,155.43765258789062
125,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-16\2019_0721_171043_003 0534_0.jpg,A-16,A-17,63.358280181884766
130,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-16\2019_0721_171043_003 0938_0.jpg,A-16,A-12a,118.20535278320312
131,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-16\2019_0721_171043_003 0939_0.jpg,A-16,A-17,119.72132110595705
142,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-16\2019_0811_175830_003 0715_0.jpg,A-16,A-24,181.33985900878903
151,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-16\2019_0811_183255_004 1476_0.jpg,A-16,A-6a,63.69866180419922
164,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-17\2019_0719_142601_003 1132_0.jpg,A-17,A-20,180.44407653808597
168,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-17\2019_0719_142601_003 2052_0.jpg,A-17,A-20,66.88863372802734
170,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-17\2019_0719_142601_003 2054_0.jpg,A-17,A-24,175.64434814453125
176,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-17\2019_0719_150032_004 0739_0.jpg,A-17,A-20,170.18882751464844
177,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-17\2019_0719_150032_004 0740_0.jpg,A-17,A-24,185.9093475341797
178,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-17\2019_0721_171043_003 0494_0.jpg,A-17,A-32,124.32880401611328
182,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-17\2019_0721_171043_003 0940_0.jpg,A-17,A-14,119.66545867919922
197,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-17\2019_0811_175830_003 0478_0.jpg,A-17,A-32,157.52932739257812
200,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-17\2019_0811_183255_004 0109_0.jpg,A-17,D-1,75.47297668457031
201,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-17\2019_0811_183255_004 0110_0.jpg,A-17,B-9,108.56987762451172
210,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-17\2019_0814_162326_004 1624_0.jpg,A-17,A-8,151.01316833496094
211,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-17\2019_0814_162326_004 1625_0.jpg,A-17,A-8,170.5064697265625
212,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-17\2019_0815_090538_005 0670_0.jpg,A-17,A-6a,128.4502716064453
215,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0714_142933_003 041_0.jpg,A-18b,A-2,131.29295349121094
216,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0714_142933_003 041_1.jpg,A-18b,A-2,98.45951080322266
217,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0719_142601_003 0425_0.jpg,A-18b,A-2,117.32109832763672
225,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0719_142601_003 0554_1.jpg,A-18b,A-2,75.41543579101562
226,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0719_142601_003 0654_0.jpg,A-18b,A-2,110.2145538330078
227,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0719_142601_003 0654_1.jpg,A-18b,A-2,89.6155776977539
