precision,recall,f1-score,support,class_code
0.8936170212765957,0.84,0.865979381443299,50.0,A-1
0.875,0.6363636363636364,0.7368421052631579,11.0,A-11
0.9,0.9,0.9,10.0,A-11a
0.3148148148148148,0.8095238095238095,0.4533333333333333,21.0,A-12a
0.8,0.7272727272727273,0.7619047619047619,11.0,A-14
0.75,0.6,0.6666666666666666,5.0,A-15
1.0,0.7678571428571429,0.8686868686868687,56.0,A-16
0.8444444444444444,0.7450980392156863,0.7916666666666666,51.0,A-17
0.9367088607594937,0.6666666666666666,0.7789473684210526,111.0,A-18b
0.23857868020304568,0.94,0.3805668016194332,50.0,A-2
0.1346153846153846,0.7,0.22580645161290322,10.0,A-20
0.8,0.6666666666666666,0.7272727272727273,6.0,A-21
0.4166666666666667,0.8333333333333334,0.5555555555555556,6.0,A-24
0.8846153846153846,0.7301587301587301,0.8,63.0,A-29
0.85,0.53125,0.6538461538461539,32.0,A-3
0.981651376146789,0.7925925925925926,0.8770491803278688,135.0,A-30
0.7192982456140351,0.7592592592592593,0.7387387387387387,54.0,A-32
0.5,0.25,0.3333333333333333,32.0,A-4
0.5555555555555556,0.8108108108108109,0.6593406593406593,74.0,A-6a
0.5405405405405406,0.46511627906976744,0.5,86.0,A-6b
0.75,0.03488372093023256,0.06666666666666667,86.0,A-6c
0.9444444444444444,0.5666666666666667,0.7083333333333334,60.0,A-6d
1.0,0.8333333333333334,0.9090909090909091,60.0,A-6e
1.0,0.8269230769230769,0.9052631578947369,156.0,A-7
0.7105263157894737,0.8709677419354839,0.782608695652174,31.0,A-8
0.75,0.75,0.75,8.0,B-1
0.1388888888888889,0.5555555555555556,0.2222222222222222,9.0,B-18
1.0,0.6666666666666666,0.8,24.0,B-2
1.0,0.9014084507042254,0.9481481481481482,71.0,B-20
0.8157894736842105,0.9117647058823529,0.8611111111111112,34.0,B-21
1.0,0.8529411764705882,0.9206349206349206,34.0,B-22
0.9339622641509434,0.6073619631901841,0.7360594795539034,163.0,B-25
0.46153846153846156,0.631578947368421,0.5333333333333333,19.0,B-26
0.7391304347826086,0.6296296296296297,0.68,27.0,B-27
0.9747474747474747,0.5727002967359051,0.7214953271028037,337.0,B-33
0.15789473684210525,0.8823529411764706,0.26785714285714285,17.0,B-34
0.9507042253521126,0.9375,0.9440559440559441,144.0,B-36
0.7142857142857143,1.0,0.8333333333333334,5.0,B-41
0.7368421052631579,0.9333333333333333,0.8235294117647058,15.0,B-42
0.8108108108108109,0.9090909090909091,0.8571428571428571,33.0,B-43
0.84,1.0,0.9130434782608695,21.0,B-44
0.5,0.5714285714285714,0.5333333333333333,21.0,B-5
0.7,1.0,0.8235294117647058,7.0,B-6-B-8-B-9
0.2857142857142857,0.9090909090909091,0.43478260869565216,11.0,B-8
0.7777777777777778,0.8235294117647058,0.8,17.0,B-9
0.9325842696629213,0.9651162790697675,0.9485714285714286,258.0,C-10
0.9401709401709402,0.9322033898305084,0.9361702127659575,118.0,C-12
0.38461538461538464,0.8333333333333334,0.5263157894736842,6.0,C-13
1.0,0.5,0.6666666666666666,18.0,C-13-C-16
0.5384615384615384,1.0,0.7,7.0,C-13a
1.0,0.16666666666666666,0.2857142857142857,6.0,C-13a-C-16a
0.6666666666666666,0.2857142857142857,0.4,14.0,C-16
0.5714285714285714,0.4,0.47058823529411764,10.0,C-2
0.24324324324324326,0.9,0.3829787234042553,10.0,C-4
0.5952380952380952,0.78125,0.6756756756756757,32.0,C-5
0.5,0.875,0.6363636363636364,8.0,C-6
0.6666666666666666,0.75,0.7058823529411765,8.0,C-7
0.9868421052631579,0.8653846153846154,0.9221311475409836,260.0,C-9
0.9072164948453608,0.9723756906077348,0.9386666666666666,181.0,D-1
0.9705882352941176,1.0,0.9850746268656716,33.0,D-14
0.99,0.9252336448598131,0.9565217391304348,107.0,D-15
0.9074074074074074,0.8166666666666667,0.8596491228070176,60.0,D-18
0.6,1.0,0.75,6.0,D-18b
0.7464788732394366,1.0,0.8548387096774194,53.0,D-2
0.875,1.0,0.9333333333333333,7.0,D-21
0.8297872340425532,0.9285714285714286,0.8764044943820225,42.0,D-23
0.75,1.0,0.8571428571428571,15.0,D-23a
0.5294117647058824,1.0,0.6923076923076923,9.0,D-24
1.0,0.2857142857142857,0.4444444444444444,7.0,D-26
0.8,1.0,0.8888888888888888,8.0,D-26b
0.6923076923076923,0.9473684210526315,0.8,19.0,D-26c
0.43478260869565216,0.9090909090909091,0.5882352941176471,11.0,D-27
0.5079365079365079,0.9411764705882353,0.6597938144329897,34.0,D-28
1.0,0.92,0.9583333333333334,25.0,D-29
0.85,0.723404255319149,0.7816091954022989,47.0,D-3
1.0,0.6363636363636364,0.7777777777777778,11.0,D-40
0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0,D-41
0.92,0.9387755102040817,0.9292929292929293,49.0,D-42
0.9743589743589743,0.926829268292683,0.95,41.0,D-43
0.96,0.9230769230769231,0.9411764705882353,26.0,D-4a
1.0,1.0,1.0,9.0,D-4b
0.7894736842105263,0.9375,0.8571428571428571,16.0,D-51
1.0,0.5,0.6666666666666666,8.0,D-52
