experiment,variant,factor,accuracy,macro_precision,macro_recall,macro_f1,inference_time_seconds
baseline,dark_1,0.7,0.8972929936305732,0.8321749210281787,0.7735650997411225,0.780037595144737,57.127211799997895
baseline,dark_2,0.5,0.8288216560509554,0.7497072449421833,0.6441273781068115,0.659107203727045,54.2666287999964
baseline,dark_3,0.3,0.6739649681528662,0.592426296111767,0.433077314282378,0.4544470895243439,55.98666399999638
weighted_sampler,dark_1,0.7,0.7985668789808917,0.7566500615220377,0.7976795653224715,0.738394984256735,56.73797449999984
weighted_sampler,dark_2,0.5,0.6950636942675159,0.7024315455038301,0.6849102364079572,0.6357924604275842,58.49967900000047
weighted_sampler,dark_3,0.3,0.48288216560509556,0.5963488239738632,0.44759043570033485,0.4143569741081788,58.73226940000313
sampler_lighting,dark_1,0.7,0.8089171974522293,0.7725725301031809,0.8423166219081771,0.7766042281545333,51.50025250000181
sampler_lighting,dark_2,0.5,0.7213375796178344,0.71965572088831,0.7594164100231167,0.6933276182067114,51.53168559999904
sampler_lighting,dark_3,0.3,0.47412420382165604,0.6625162893600859,0.5187247471206932,0.4890174095346314,51.021947699999146
sampler_lighting_gamma,dark_1,0.7,0.8813694267515924,0.8636532854586553,0.8799166967340902,0.8534988296856533,53.49106070000562
sampler_lighting_gamma,dark_2,0.5,0.8431528662420382,0.8161460167940473,0.8331441303163285,0.7994093425834589,53.39819870000065
sampler_lighting_gamma,dark_3,0.3,0.6994426751592356,0.7227007945760634,0.6864691975998668,0.6587051839125211,50.342920199997025
