class_code,original_f1,bright3_f1,f1_drop
A-1,0.6782608695652174,0.6972477064220184,-0.018986836856801026
A-11,0.8695652173913043,0.7692307692307693,0.10033444816053505
A-11a,0.8888888888888888,0.8571428571428571,0.031746031746031744
A-12a,0.9,0.75,0.15000000000000002
A-14,0.7272727272727273,0.75,-0.022727272727272707
A-15,0.8888888888888888,0.75,0.13888888888888884
A-16,0.9272727272727272,0.9174311926605505,0.009841534612176739
A-17,0.92,0.9038461538461539,0.016153846153846185
A-18b,0.968609865470852,0.968609865470852,0.0
A-2,0.6428571428571429,0.6436781609195402,-0.0008210180623973162
A-20,0.6363636363636364,0.3448275862068966,0.2915360501567398
A-21,1.0,0.8571428571428571,0.1428571428571429
A-24,0.8,0.9090909090909091,-0.10909090909090902
A-29,0.9838709677419355,0.9672131147540983,0.016657852987837174
A-3,0.29850746268656714,0.4864864864864865,-0.18797902379991938
A-30,0.9657794676806084,0.9323308270676691,0.033448640612939284
A-32,0.9724770642201835,0.9074074074074074,0.0650696568127761
A-4,0.37142857142857144,0.3333333333333333,0.038095238095238126
A-6a,0.8874172185430463,0.8662420382165605,0.0211751803264858
A-6b,0.6107784431137725,0.5766871165644172,0.034091326549355316
A-6c,0.6666666666666666,0.6853932584269663,-0.01872659176029967
A-6d,0.8360655737704918,0.8205128205128205,0.015552753257671359
A-6e,0.8347826086956521,0.8035714285714286,0.031211180124223525
A-7,0.9903536977491961,0.9607843137254902,0.029569384023705902
A-8,0.967741935483871,0.9122807017543859,0.05546123372948508
B-1,1.0,0.7272727272727273,0.2727272727272727
B-18,0.6428571428571429,0.32653061224489793,0.31632653061224497
B-2,0.9787234042553191,0.9565217391304348,0.022201665124884307
B-20,1.0,0.9929078014184397,0.007092198581560294
B-21,0.7058823529411765,0.5333333333333333,0.1725490196078432
B-22,0.5306122448979592,0.6172839506172839,-0.0866717057193247
B-25,0.9592476489028213,0.9285714285714286,0.030676220331392723
B-26,0.8780487804878049,0.8260869565217391,0.051961823966065745
B-27,0.9122807017543859,0.6545454545454545,0.2577352472089314
B-33,0.9571865443425076,0.9166666666666666,0.040519877675840976
B-34,0.8292682926829268,0.5357142857142857,0.2935540069686411
B-36,0.9965156794425087,0.9895470383275261,0.006968641114982632
B-41,1.0,0.75,0.25
B-42,0.875,0.6666666666666666,0.20833333333333337
B-43,0.96875,0.9180327868852459,0.05071721311475408
B-44,0.975609756097561,0.8108108108108109,0.1647989452867501
B-5,0.9047619047619048,0.8717948717948718,0.03296703296703296
B-6-B-8-B-9,1.0,1.0,0.0
B-8,0.9565217391304348,0.88,0.07652173913043481
B-9,0.9714285714285714,0.7333333333333333,0.23809523809523814
C-10,0.8050314465408805,0.773286467486819,0.031744979054061595
C-12,0.9669421487603306,0.9613733905579399,0.005568758202390667
C-13,0.9230769230769231,1.0,-0.07692307692307687
C-13-C-16,0.9,0.8571428571428571,0.04285714285714293
C-13a,1.0,0.7272727272727273,0.2727272727272727
C-13a-C-16a,0.5,0.4444444444444444,0.05555555555555558
C-16,0.7647058823529411,0.7272727272727273,0.03743315508021383
C-2,0.5454545454545454,0.47058823529411764,0.07486631016042777
C-4,0.32,0.24242424242424243,0.07757575757575758
C-5,0.7777777777777778,0.8115942028985508,-0.033816425120772986
C-6,0.8888888888888888,0.7619047619047619,0.12698412698412698
C-7,1.0,0.9333333333333333,0.06666666666666665
C-9,0.8352059925093633,0.7293064876957495,0.10589950481361388
D-1,0.9834254143646409,0.969187675070028,0.014237739294612917
D-14,0.9705882352941176,0.9090909090909091,0.06149732620320858
D-15,0.9905660377358491,1.0,-0.009433962264150941
D-18,0.9090909090909091,0.9105691056910569,-0.0014781966001478075
D-18b,0.7142857142857143,0.9090909090909091,-0.19480519480519476
D-2,0.9814814814814815,0.9719626168224299,0.009518864659051607
D-21,0.8571428571428571,0.8333333333333334,0.023809523809523725
D-23,0.9647058823529412,0.9302325581395349,0.03447332421340632
D-23a,0.9655172413793104,0.9032258064516129,0.06229143492769751
D-24,0.9411764705882353,0.8888888888888888,0.05228758169934644
D-26,0.8235294117647058,0.7692307692307693,0.05429864253393657
D-26b,0.9333333333333333,0.875,0.05833333333333335
D-26c,0.9444444444444444,0.9230769230769231,0.02136752136752129
D-27,0.8461538461538461,0.9166666666666666,-0.07051282051282048
D-28,0.9850746268656716,0.9552238805970149,0.02985074626865669
D-29,0.9387755102040817,0.9387755102040817,0.0
D-3,0.8695652173913043,0.8695652173913043,0.0
D-40,0.9523809523809523,0.9,0.052380952380952306
D-41,0.9166666666666666,0.9629629629629629,-0.04629629629629628
D-42,0.98,0.9423076923076923,0.03769230769230769
D-43,0.975,0.9382716049382716,0.036728395061728425
D-4a,0.9803921568627451,0.9803921568627451,0.0
D-4b,1.0,1.0,0.0
D-51,0.9375,0.9090909090909091,0.02840909090909094
D-52,0.9333333333333333,0.9333333333333333,0.0
D-53,1.0,0.8571428571428571,0.1428571428571429
D-6,0.9928825622775801,0.9893992932862191,0.003483268991360977
D-6b,0.9393939393939394,0.90625,0.03314393939393945
D-7,1.0,0.9259259259259259,0.07407407407407407
D-8,0.9850746268656716,0.9552238805970149,0.02985074626865669
D-9,0.8888888888888888,0.7272727272727273,0.16161616161616155
D-tablica,0.9375,0.9090909090909091,0.02840909090909094
G-1a,1.0,0.9565217391304348,0.04347826086956519
G-3,1.0,0.7692307692307693,0.23076923076923073
