true_class,predicted_class,errors
C-9,C-10,86
A-6b,A-6c,27
B-33,B-18,23
C-10,C-9,23
A-4,A-3,21
A-2,A-1,18
B-21,B-22,17
A-6c,A-6b,17
A-3,A-4,14
B-33,B-34,12
B-22,B-21,9
B-25,B-26,8
A-6e,A-6d,8
C-10,C-4,8
A-6b,A-6a,7
A-1,A-2,7
C-9,C-4,7
A-6d,A-6e,6
A-6c,A-6a,5
B-27,B-34,5
B-25,B-27,4
A-6a,A-6b,4
C-2,C-4,4
C-13a-C-16a,C-13-C-16,4
B-43,B-18,3
A-7,A-11,3
B-9,B-1,3
D-3,C-5,3
A-6e,A-6b,3
D-43,D-42,3
D-14,D-18,3
D-1,A-7,3
B-27,B-42,3
A-30,A-6b,3
A-32,A-17,3
D-3,D-9,3
C-5,D-3,3
A-30,A-12a,3
A-6a,A-6c,2
A-6b,A-20,2
D-1,A-1,2
C-12,C-10,2
A-7,D-1,2
B-25,B-18,2
C-4,C-6,2
C-13a,C-13-C-16,2
A-6d,A-20,2
C-4,C-2,2
B-44,D-43,2
A-32,A-20,2
C-10,C-16,2
D-6b,D-6,2
D-6,D-6b,2
A-12a,A-14,2
B-42,B-34,2
B-42,B-27,2
B-5,C-16,2
B-9,B-18,2
A-16,A-32,2
B-2,B-1,2
A-17,A-20,2
B-33,D-tablica,2
A-17,A-12a,2
B-33,B-25,2
B-33,B-22,2
A-20,A-12a,2
B-33,B-9,2
A-30,A-20,2
D-21,D-8,2
C-16,C-6,1
B-44,G-3,1
C-16,C-5,1
B-5,B-27,1
B-5,B-8,1
C-12,B-36,1
C-10,C-5,1
C-12,D-14,1
C-10,D-3,1
C-12,C-9,1
B-9,B-22,1
C-13a,C-13a-C-16a,1
C-10,A-4,1
C-10,C-6,1
C-10,B-42,1
C-12,A-17,1
A-1,A-18b,1
C-2,C-10,1
C-2,C-5,1
D-26,D-26b,1
D-26b,D-26c,1
D-26c,D-23,1
D-28,D-23,1
D-28,D-23a,1
D-29,C-5,1
D-29,D-27,1
D-3,B-18,1
D-40,D-18,1
D-40,D-7,1
D-4a,D-9,1
D-51,D-14,1
D-52,B-44,1
D-53,D-42,1
D-53,G-3,1
D-6b,A-30,1
D-7,D-18,1
D-7,D-27,1
D-7,D-9,1
D-26,D-23,1
D-24,D-26,1
D-23a,D-26c,1
D-1,A-11,1
C-4,C-12,1
C-4,C-16,1
C-5,B-42,1
C-7,C-6,1
C-9,B-42,1
C-9,C-16,1
C-9,C-2,1
B-44,D-28,1
D-1,A-30,1
D-23,D-9,1
D-1,G-1a,1
D-18,D-14,1
D-18,D-23,1
D-18,D-51,1
D-18,D-tablica,1
D-18b,D-18,1
D-2,A-18b,1
D-23,D-42,1
C-9,C-5,1
B-33,B-5,1
B-44,B-34,1
A-29,A-6b,1
A-2,D-24,1
A-20,A-30,1
A-20,A-6c,1
A-20,D-3,1
A-24,A-14,1
A-29,A-17,1
A-29,A-30,1
A-29,A-6a,1
A-30,A-18b,1
A-6d,A-16,1
A-30,A-21,1
A-30,A-32,1
A-4,D-6b,1
A-6b,A-3,1
A-6b,A-30,1
A-6b,A-6e,1
A-6c,A-1,1
A-6c,A-12a,1
A-2,C-12,1
A-2,A-4,1
A-2,A-11,1
A-18b,A-30,1
A-1,A-3,1
A-1,A-4,1
A-1,A-6b,1
A-1,B-27,1
A-11,A-2,1
A-11a,A-3,1
A-12a,B-18,1
A-14,A-16,1
A-14,A-6c,1
A-15,A-21,1
A-15,B-27,1
A-16,A-17,1
A-16,A-20,1
A-16,D-6,1
A-16,G-3,1
A-18b,A-14,1
A-18b,A-16,1
A-6c,D-42,1
A-6d,A-32,1
B-44,B-27,1
B-33,D-18,1
B-25,B-8,1
B-25,C-10,1
B-27,A-11a,1
B-33,A-20,1
B-33,B-8,1
B-33,C-12,1
B-33,C-16,1
B-33,C-5,1
B-33,D-2,1
A-6d,A-6a,1
B-34,B-42,1
B-34,D-2,1
B-36,A-4,1
B-36,B-34,1
B-41,B-22,1
B-41,B-34,1
B-43,B-34,1
B-43,D-23a,1
B-25,B-34,1
B-25,B-22,1
B-25,B-21,1
B-25,B-1,1
A-6d,C-10,1
A-6e,A-12a,1
A-6e,A-18b,1
A-6e,A-20,1
A-6e,A-30,1
A-7,A-11a,1
A-7,A-32,1
A-7,A-6b,1
A-7,A-6d,1
A-8,A-2,1
A-8,A-20,1
A-8,A-6a,1
A-8,D-1,1
A-8,D-6,1
B-18,B-33,1
B-20,D-51,1
B-21,D-29,1
D-8,D-41,1
