precision,recall,f1-score,support,class_code
0.6440677966101694,0.76,0.6972477064220184,50.0,A-1
0.6666666666666666,0.9090909090909091,0.7692307692307693,11.0,A-11
0.8181818181818182,0.9,0.8571428571428571,10.0,A-11a
0.6666666666666666,0.8571428571428571,0.75,21.0,A-12a
0.6923076923076923,0.8181818181818182,0.75,11.0,A-14
1.0,0.6,0.75,5.0,A-15
0.9433962264150944,0.8928571428571429,0.9174311926605505,56.0,A-16
0.8867924528301887,0.9215686274509803,0.9038461538461539,51.0,A-17
0.9642857142857143,0.972972972972973,0.968609865470852,111.0,A-18b
0.7567567567567568,0.56,0.6436781609195402,50.0,A-2
0.2631578947368421,0.5,0.3448275862068966,10.0,A-20
0.75,1.0,0.8571428571428571,6.0,A-21
1.0,0.8333333333333334,0.9090909090909091,6.0,A-24
1.0,0.9365079365079365,0.9672131147540983,63.0,A-29
0.42857142857142855,0.5625,0.4864864864864865,32.0,A-3
0.9465648854961832,0.9185185185185185,0.9323308270676691,135.0,A-30
0.9074074074074074,0.9074074074074074,0.9074074074074074,54.0,A-32
0.35714285714285715,0.3125,0.3333333333333333,32.0,A-4
0.8192771084337349,0.918918918918919,0.8662420382165605,74.0,A-6a
0.6103896103896104,0.5465116279069767,0.5766871165644172,86.0,A-6b
0.6630434782608695,0.7093023255813954,0.6853932584269663,86.0,A-6c
0.8421052631578947,0.8,0.8205128205128205,60.0,A-6d
0.8653846153846154,0.75,0.8035714285714286,60.0,A-6e
0.98,0.9423076923076923,0.9607843137254902,156.0,A-7
1.0,0.8387096774193549,0.9122807017543859,31.0,A-8
0.5714285714285714,1.0,0.7272727272727273,8.0,B-1
0.2,0.8888888888888888,0.32653061224489793,9.0,B-18
1.0,0.9166666666666666,0.9565217391304348,24.0,B-2
1.0,0.9859154929577465,0.9929078014184397,71.0,B-20
0.6153846153846154,0.47058823529411764,0.5333333333333333,34.0,B-21
0.5319148936170213,0.7352941176470589,0.6172839506172839,34.0,B-22
0.9862068965517241,0.8773006134969326,0.9285714285714286,163.0,B-25
0.7037037037037037,1.0,0.8260869565217391,19.0,B-26
0.6428571428571429,0.6666666666666666,0.6545454545454545,27.0,B-27
0.9965156794425087,0.8486646884272997,0.9166666666666666,337.0,B-33
0.38461538461538464,0.8823529411764706,0.5357142857142857,17.0,B-34
0.993006993006993,0.9861111111111112,0.9895470383275261,144.0,B-36
1.0,0.6,0.75,5.0,B-41
0.6111111111111112,0.7333333333333333,0.6666666666666666,15.0,B-42
1.0,0.8484848484848485,0.9180327868852459,33.0,B-43
0.9375,0.7142857142857143,0.8108108108108109,21.0,B-44
0.9444444444444444,0.8095238095238095,0.8717948717948718,21.0,B-5
1.0,1.0,1.0,7.0,B-6-B-8-B-9
0.7857142857142857,1.0,0.88,11.0,B-8
0.8461538461538461,0.6470588235294118,0.7333333333333333,17.0,B-9
0.707395498392283,0.8527131782945736,0.773286467486819,258.0,C-10
0.9739130434782609,0.9491525423728814,0.9613733905579399,118.0,C-12
1.0,1.0,1.0,6.0,C-13
0.75,1.0,0.8571428571428571,18.0,C-13-C-16
1.0,0.5714285714285714,0.7272727272727273,7.0,C-13a
0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0,C-13a-C-16a
0.631578947368421,0.8571428571428571,0.7272727272727273,14.0,C-16
0.5714285714285714,0.4,0.47058823529411764,10.0,C-2
0.17391304347826086,0.4,0.24242424242424243,10.0,C-4
0.7567567567567568,0.875,0.8115942028985508,32.0,C-5
0.6153846153846154,1.0,0.7619047619047619,8.0,C-6
1.0,0.875,0.9333333333333333,8.0,C-7
0.8716577540106952,0.6269230769230769,0.7293064876957495,260.0,C-9
0.9829545454545454,0.9558011049723757,0.969187675070028,181.0,D-1
0.9090909090909091,0.9090909090909091,0.9090909090909091,33.0,D-14
1.0,1.0,1.0,107.0,D-15
0.8888888888888888,0.9333333333333333,0.9105691056910569,60.0,D-18
1.0,0.8333333333333334,0.9090909090909091,6.0,D-18b
0.9629629629629629,0.9811320754716981,0.9719626168224299,53.0,D-2
1.0,0.7142857142857143,0.8333333333333334,7.0,D-21
0.9090909090909091,0.9523809523809523,0.9302325581395349,42.0,D-23
0.875,0.9333333333333333,0.9032258064516129,15.0,D-23a
0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0,D-24
0.8333333333333334,0.7142857142857143,0.7692307692307693,7.0,D-26
0.875,0.875,0.875,8.0,D-26b
0.9,0.9473684210526315,0.9230769230769231,19.0,D-26c
0.8461538461538461,1.0,0.9166666666666666,11.0,D-27
0.9696969696969697,0.9411764705882353,0.9552238805970149,34.0,D-28
0.9583333333333334,0.92,0.9387755102040817,25.0,D-29
0.8888888888888888,0.851063829787234,0.8695652173913043,47.0,D-3
1.0,0.8181818181818182,0.9,11.0,D-40
0.9285714285714286,1.0,0.9629629629629629,13.0,D-41
0.8909090909090909,1.0,0.9423076923076923,49.0,D-42
0.95,0.926829268292683,0.9382716049382716,41.0,D-43
1.0,0.9615384615384616,0.9803921568627451,26.0,D-4a
1.0,1.0,1.0,9.0,D-4b
0.8823529411764706,0.9375,0.9090909090909091,16.0,D-51
1.0,0.875,0.9333333333333333,8.0,D-52
1.0,0.75,0.8571428571428571,8.0,D-53
0.9859154929577465,0.9929078014184397,0.9893992932862191,282.0,D-6
0.90625,0.90625,0.90625,32.0,D-6b
0.9615384615384616,0.8928571428571429,0.9259259259259259,28.0,D-7
0.9411764705882353,0.9696969696969697,0.9552238805970149,33.0,D-8
0.5714285714285714,1.0,0.7272727272727273,8.0,D-9
0.8333333333333334,1.0,0.9090909090909091,15.0,D-tablica
0.9166666666666666,1.0,0.9565217391304348,11.0,G-1a
0.625,1.0,0.7692307692307693,5.0,G-3
