dataset_index,path,true_class,predicted_class,original_brightness
5,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-1\2019_0721_171043_003 1614_0.jpg,A-1,A-2,79.55204772949219
6,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-1\2019_0721_171043_003 1641_0.jpg,A-1,A-2,65.5746841430664
12,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-1\2019_0726_185626_003 584_0.jpg,A-1,A-2,37.9691276550293
16,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-1\2019_0809_162432_004 1301_0.jpg,A-1,A-2,180.8301239013672
30,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-1\2019_0816_172034_007 0888_0.jpg,A-1,A-2,106.5311050415039
36,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-1\2019_0816_175356_008 374_0.jpg,A-1,A-18b,143.493896484375
47,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-1\2019_0901_165821_014 1860_0.jpg,A-1,A-2,27.25254440307617
49,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-1\2019_0905_182313_001 0190_0.jpg,A-1,A-2,221.41661071777344
51,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-11\2019_0719_142601_003 0241_1.jpg,A-11,A-2,151.43682861328125
76,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-12a\2019_0721_171043_003 1584_0.jpg,A-12a,A-18b,100.61859130859376
82,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-12a\2019_0814_154857_003 0130_0.jpg,A-12a,A-6b,88.30430603027344
93,C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-14\2019_0719_142601_003 0368_0.jpg,A-14,A-16,80.63018035888672
